"iso3","year","social_protection_coverage","social_assistance_coverage_aspire","social_insurance_coverage_aspire","cash_transfer_coverage_aspire","pension_coverage_aspire","social_protection_adequacy_aspire","public_transfer_benefit_q1_aspire"
"CRI","1985","","","","","","",""
"CRI","1986","","","","","","",""
"CRI","1987","","","","","","",""
"CRI","1988","","","","","","",""
"CRI","1989","","","","","","",""
"CRI","1990","","","","","","",""
"CRI","1991","","","","","","",""
"CRI","1992","","","","","","",""
"CRI","1993","","","","","","",""
"CRI","1994","","","","","","",""
"CRI","1995","","","","","","",""
"CRI","1996","","","","","","",""
"CRI","1997","","","","","","",""
"CRI","1998","","","","","","",""
"CRI","1999","","","","","","",""
"CRI","2000","","","","","","",""
"CRI","2001","","","","","","",""
"CRI","2002","","","","","","",""
"CRI","2003","","","","","","",""
"CRI","2004","","","","","","",""
"CRI","2005","","","","","","",""
"CRI","2006","","","","","","",""
"CRI","2007","","","","","","",""
"CRI","2008","70.16919455841956","54.25785970308152","12.944535254641451","1.4074719674697898","12.944535254641451","38.09305324654","5.749460363464105"
"CRI","2009","72.6779393323244","52.60413397975737","18.83601988367609","3.897557151673821","18.83601988367609","",""
"CRI","2010","67.15197564698727","48.80938005997746","14.05170158729458","12.964160321057122","14.05170158729458","27.0643088809781","5.662782863013738"
"CRI","2011","67.9458180662888","48.779516528557735","14.403398230273872","13.088868600715362","14.403398230273872","26.04909961488208","5.589926505302981"
"CRI","2012","67.33135389881234","47.460826976496186","15.028444517066712","12.200418820251292","15.028444517066712","24.659975997846768","5.4125768384545"
"CRI","2013","","","","","","",""
"CRI","2014","66.63172788804337","45.85029097889709","15.56913756176677","2.715655825550622","15.56913756176677","28.666506979712004","5.184076012604554"
"CRI","2015","72.0125786163522","52.70247929421509","15.66320611409979","3.807147820965108","15.66320611409979","30.1586255813682","5.545425071721322"
"CRI","2016","73.20826287430918","54.18096814550341","16.531643453272345","5.136105987077783","16.531643453272345","32.240262401053315","5.47813840693515"
"CRI","2017","74.5477403549112","54.34797248369277","18.2801009812938","5.178354173673059","18.2801009812938","30.663558102662414","7.123500314705734"
"CRI","2018","73.9639081102486","54.85426945664672","18.23502859738253","5.012595211712152","18.23502859738253","30.359773001812272","6.978018235184617"
"CRI","2019","73.5669364898356","54.17978798031837","18.354503520281533","4.458950597523166","18.354503520281533","32.44223047328472","6.544610421728706"
"CRI","2020","82.9141614841962","68.87906687654379","20.07287720263993","26.872059891153395","20.07287720263993","36.85903232329728","9.552749849858824"
"CRI","2021","71.03818526547559","49.92548956028647","21.077027776132777","3.635604631588349","21.077027776132777","34.28564929240805","5.537764522264943"
"CRI","2022","70.89552439601428","49.13808578051986","21.674335685866318","3.480598233466957","21.674335685866318","34.655580155225465","5.74507856228164"
"CRI","2023","","","","","","",""
"CRI","2024","","","","","","",""
"CRI","2025","","","","","","",""
"CUB","1960","","","","","","",""
"CUB","1961","","","","","","",""
"CUB","1962","","","","","","",""
"CUB","1963","","","","","","",""
"CUB","1964","","","","","","",""
"CUB","1965","","","","","","",""
"CUB","1966","","","","","","",""
"CUB","1967","","","","","","",""
"CUB","1968","","","","","","",""
"CUB","1969","","","","","","",""
"CUB","1970","","","","","","",""
"CUB","1971","","","","","","",""
"CUB","1972","","","","","","",""
"CUB","1973","","","","","","",""
"CUB","1974","","","","","","",""
"CUB","1975","","","","","","",""
"CUB","1976","","","","","","",""
"CUB","1977","","","","","","",""
"CUB","1978","","","","","","",""
"CUB","1979","","","","","","",""
"CUB","1980","","","","","","",""
"CUB","1981","","","","","","",""
"CUB","1982","","","","","","",""
"CUB","1983","","","","","","",""
"CUB","1984","","","","","","",""
"CUB","1985","","","","","","",""
"CUB","1986","","","","","","",""
"CUB","1987","","","","","","",""
"CUB","1988","","","","","","",""
"CUB","1989","","","","","","",""
